var.nms,ks.pvals,a.ks.pvals,cor.pvals,a.cor.pvals,delta.median,obs.cor,r.ks,r.cor,ave.r
FreeSurfer.thickness..25..2030,1.01039025388605e-05,0.000788272301298354,1.41195295886773e-05,0.00444625171609831,-0.114777892825,0.266201991370734,47.5,103.5,75.5
FreeSurfer.thickness..mean.1009,0.000138395243832634,0.00432630510132268,8.35050420185173e-07,0.000683314325529038,-0.08647173591,0.299940134242807,113,40,76.5
FreeSurfer.thickness..mean.1015,0.000293263502740615,0.00699320660381467,2.69642025508901e-09,1.04385963393635e-05,-0.09285745133,0.358348020460066,148,7,77.5
FreeSurfer.thickness..median.1028,1.97747167351991e-06,0.0001988160709593,2.8205467673932e-05,0.00732707400729779,-0.0924181938200004,0.25754130101237,37,126,81.5
FreeSurfer.thickness..75..1025,9.39854983169619e-05,0.00342770640920685,4.11101837491495e-06,0.00203879378268801,-0.0729944705899999,0.281203131144994,99.5,66,82.75
FreeSurfer.thickness..75..1015,0.000366118004303306,0.00830462790248963,4.50206263258639e-10,4.91199703540947e-06,-0.0641021728500002,0.375037739235781,164,3,83.5
Volume.1015,0.000293263502740615,0.00699320660381467,8.29595609895028e-08,0.000129304895776249,-491.0245,0.324948614493353,148,21,84.5
FreeSurfer.thickness..25..1035,0.000362052245713285,0.00826278744818048,3.43109518426028e-08,7.48702572518946e-05,-0.06928497553,0.334552269366235,163,15,89
Volume.1028,0.00020223371267647,0.00557266230486272,1.70386821925752e-06,0.00109353740911121,-788.0978,0.29172168376192,131.5,50.5,91
FreeSurfer.thickness..median.2028,4.69199664676623e-07,5.45444610186574e-05,4.98162160179866e-05,0.0107984546018749,-0.0990500450100003,0.249745166884193,32,151,91.5
FreeSurfer.thickness..median.1025,4.23600470412788e-05,0.00196974218741947,3.01952796224584e-05,0.00767138256535112,-0.0836734771800001,0.255654946141706,76.5,128.5,102.5
FreeSurfer.thickness..mean.1025,0.000138395243832634,0.00432630510132268,1.21455030727904e-05,0.00414106543737917,-0.0736346131699999,0.267646824762505,113,96,104.5
mean.curvature..mean.1015,0.00060267497914035,0.010427678708847,2.87023063189922e-09,1.04385963393635e-05,0.11976898466,-0.357772861100736,204,7,105.5
FreeSurfer.thickness..25..2009,0.000138395243832634,0.00432630510132268,1.3493833684936e-05,0.00443742235760147,-0.0926096439399999,0.266289855152555,113,100,106.5
mean.curvature..median.1027,0.000300103855307987,0.00706573634016274,2.96905045763077e-06,0.00164715088820037,0.122715,-0.287285267824172,157.5,59,108.25
FreeSurfer.thickness..median.2030,3.36484889094102e-05,0.00179949351441542,4.33833402530517e-05,0.00971583156797232,-0.0980579853049997,0.251188106966401,70,146.5,108.25
FreeSurfer.thickness..median.1020,0.000132790539135952,0.00432630510132268,1.67075217601487e-05,0.00506356160451127,-0.0686360597649998,0.265509713082676,113,108,110.5
mean.curvature..mean.1018,4.23600470412788e-05,0.00196974218741947,4.36762984651194e-05,0.00971583156797232,0.084461068,-0.25062290388195,76.5,146.5,111.5
FreeSurfer.thickness..median.1027,8.82097478746013e-05,0.0034181277301408,4.13016784051854e-05,0.00950966116352526,-0.0906037092249998,0.253302759316063,96,142,119
FreeSurfer.thickness..25..1028,1.24427931236237e-06,0.000128575528944112,0.000137248160606457,0.0218075627363392,-0.11897945404,0.235195155843553,35.5,204.5,120
FreeSurfer.thickness..75..1030,0.0010139914664532,0.0153335294927069,2.43690320713233e-10,3.98819240397945e-06,-0.0680763721500002,0.380341247358727,245.5,1.5,123.5
mean.curvature..median.1015,0.000703249203242606,0.011945602904395,5.13929575695354e-07,0.000494757643507565,0.119175,-0.30595818639934,219,34,126.5
